계급,직렬,지역,부대,임용예정일
7급,군사정보,경기 양주,25사단,2019.10.1
7급,군수,대전,군수사령부,2019.10.1
7급,기체,충북 음성,특수작전항공단,2019.10.1
7급,수사,서울,5지구수사대,2019.10.1
7급,수사,강원 원주,1지구수사대,2019.10.1
7급,수사,경기 의정부,3지구수사대,2019.10.1
7급,전기,서울,수도방위사령부,2019.10.1
7급,전자,충남 천안,3탄약창,2019.10.1
7급,전자,세종,11탄약창,2019.10.1
7급,전차,세종,방공학교,2019.10.1
7급,전차,강원 인제,3군단,2019.10.1
7급,총포,대전,교육사령부,2019.10.1
7급,항공기관,경기 남양주,107항공대대,2019.10.1
7급,행정,대전,교육사령부,2019.10.1
7급,행정,서울,학군단(서울),2019.10.1
7급,행정,경기 용인,학군단(용인),2019.10.1
7급,행정,경기 수원,학군단(수원),2019.10.1
7급,행정,대전,교육사령부,2019.10.1
7급,행정,강원 춘천,학군단(강원대),2019.10.1
7급,행정,세종,학군단(세종 고려대),2019.10.1
7급,행정,서울,수도방위사령부,2019.10.1
7급,행정,서울,학군단(서울),2019.10.1
7급,행정,인천,학군단(인하대),2019.10.1
7급,행정,대전,교육사령부,2019.10.1
7급,행정,강원 원주,학군단(원주 연세대),2019.10.1
7급,행정,광주(전남),학군단(전남대),2019.10.1
7급,행정,경기 이천,정보학교,2019.10.1
7급,행정,경기 용인,지상작전사령부,2019.10.1
7급,행정,서울,학군단(서울),2019.10.1
7급,행정,경기 용인,학군단(용인),2019.10.1
7급,행정,대전,탄약사령부,2019.10.1
7급,행정,강원 춘천,2군단,2019.10.1
7급,행정,경기 수원,학군단(수원),2019.10.1
7급,행정,경기 안산,학군단(안산 한양대),2019.10.1
7급,행정,경북 구미,학군단(금오공대),2019.10.1
7급,행정,충북 영동,종합행정학교,2019.10.1
7급,행정,대전,교육사령부,2019.10.1
7급,행정,대전,교육사령부,2019.10.1
7급,행정,대구,학군단(경북대),2019.10.1
7급,행정,부산,학군단(부산대),2019.10.1
7급,행정,대전,교육사령부,2019.10.1
7급,행정,서울,육군사관학교,2019.10.1
7급,토목,,,2019.10.1
7급,토목,,,2019.10.1
7급,토목,,,2019.10.1
