계급,직렬,지역,부대,임용예정일
9급,건축,충북 영동,종합행정학교,2019.10.1.
9급,건축,전북 익산,육군부사관학교,2019.10.1.
9급,건축,전북 익산,육군부사관학교,2019.10.1.
9급,건축,경남 창원,종합정비창,2019.10.1.
9급,건축,경남 창원,종합정비창,2019.10.1.
9급,건축,경남 창원,종합정비창,2019.10.1.
9급,군사정보,경기 화성,51사단,2019.10.1.
9급,군사정보,서울,수도방위사령부,2019.10.1.
9급,군사정보,인천,수도군수지원단,2019.10.1.
9급,군사정보,경기 이천,정보학교,2019.10.1.
9급,군사정보,강원 철원,3사단,2019.10.1.
9급,군사정보,강원 인제,3군단,2019.10.1.
9급,군사정보,경기 이천,정보학교,2019.10.1.
9급,군사정보,서울,수도방위사령부,2019.10.1.
9급,군사정보,전북 임실,35사단,2019.10.1.
9급,군수,경기 과천,수도방위사령부 군수지원대대,2019.10.1.
9급,군수,강원 춘천,2군단,2019.10.1.
9급,군수,경기 양주,28사단,2019.10.1.
9급,군수,경기 고양,1군단,2019.10.1.
9급,군수,강원 춘천,2군단,2019.10.1.
9급,군수,경기 고양,1군단,2019.10.1.
9급,군수,경기 고양,1군단,2019.10.1.
9급,군수,경기 고양,1군단,2019.10.1.
9급,군수,경기 남양주,6군수지원단,2019.10.1.
9급,군수,경기 고양,56사단,2019.10.1.
9급,군수,강원 춘천,2군단,2019.10.1.
9급,군수,경기 고양,1군단,2019.10.1.
9급,군수,경기 남양주,6군수지원단,2019.10.1.
9급,군수,충남 논산,교육사령부(논산),2019.10.1.
9급,군수,경기 양주,16보급대대,2019.10.1.
9급,군수,강원 강릉,8군수지원단,2019.10.1.
9급,군수,강원 홍천,3기갑여단,2019.10.1.
9급,군수,인천,수도군수지원단,2019.10.1.
9급,군수,경기 고양,1군단,2019.10.1.
9급,군수,강원 춘천,2군단,2019.10.1.
9급,군수,전남 장성,교육사령부(장성),2019.10.1.
9급,군수,인천,17사단,2019.10.1.
